epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4753,1.70466,3.75232,1.71791,0.00432,0.2096,0.08963,0.05762,1.45968,4.0034,1.80733,8e-05,8e-05,8e-05
2,75.2455,1.42389,3.54463,1.56297,0.01062,0.29672,0.18852,0.14518,1.2336,3.85577,1.49192,0.000166634,0.000166634,0.000166634
3,111.486,1.32707,3.0125,1.48522,0.01277,0.31187,0.20895,0.15171,1.21572,3.67348,1.44493,0.000249704,0.000249704,0.000249704
4,148.577,1.23684,2.41053,1.39094,1,0.06559,0.31677,0.24706,1.18881,3.40802,1.42095,0.00032921,0.00032921,0.00032921
5,184.745,1.21961,2.05813,1.39306,1,0.09373,0.39296,0.30032,1.16266,3.31548,1.45425,0.000405152,0.000405152,0.000405152
6,220.642,1.21587,1.88151,1.43736,1,0.18969,0.45423,0.33153,1.2018,3.20569,1.48007,0.00047753,0.00047753,0.00047753
7,256.468,1.21556,1.68412,1.42938,0.9694,0.28362,0.4835,0.33131,1.23892,2.84752,1.51617,0.000546344,0.000546344,0.000546344
8,291.827,1.21476,1.60894,1.41534,0.93845,0.34114,0.5815,0.37251,1.33132,2.59364,1.58979,0.000611594,0.000611594,0.000611594
9,328.076,1.1584,1.47759,1.38668,0.8816,0.36697,0.589,0.37184,1.29353,2.40932,1.60556,0.00067328,0.00067328,0.00067328
10,364.33,1.11151,1.34882,1.34542,0.69049,0.42871,0.58548,0.38305,1.27,2.25344,1.63071,0.000731402,0.000731402,0.000731402
11,396.262,1.10878,1.28072,1.30727,0.60825,0.59318,0.66915,0.44091,1.27321,1.96205,1.62633,0.00078596,0.00078596,0.00078596
12,415.182,1.16351,1.27789,1.39957,0.6361,0.56949,0.65001,0.43678,1.27461,2.00458,1.61259,0.0007822,0.0007822,0.0007822
13,435.259,1.13825,1.21844,1.35231,0.6429,0.67424,0.68478,0.45521,1.25577,1.74838,1.57925,0.0007624,0.0007624,0.0007624
14,455.564,1.11499,1.19774,1.3748,0.61936,0.7685,0.72474,0.49868,1.1939,1.44299,1.53665,0.0007426,0.0007426,0.0007426
15,475.778,1.09074,1.15223,1.34723,0.76505,0.83913,0.79818,0.55206,1.19761,1.31625,1.56008,0.0007228,0.0007228,0.0007228
16,496.274,1.06341,1.08918,1.27327,0.79941,0.85179,0.85228,0.5697,1.22819,1.31235,1.60436,0.000703,0.000703,0.000703
17,517.449,1.08513,1.07718,1.32215,0.84643,0.81185,0.86352,0.57534,1.19644,1.37021,1.59163,0.0006832,0.0006832,0.0006832
18,539.248,1.07593,1.01172,1.27358,0.82683,0.84167,0.87907,0.59023,1.17809,1.2596,1.59561,0.0006634,0.0006634,0.0006634
19,560.64,1.02524,1.00269,1.30409,0.80884,0.92843,0.90213,0.6129,1.16462,1.1259,1.56171,0.0006436,0.0006436,0.0006436
20,581.894,1.03397,0.98287,1.2435,0.86015,0.91735,0.91289,0.60962,1.18292,1.10202,1.56764,0.0006238,0.0006238,0.0006238
21,603.916,1.03643,0.95153,1.27532,0.88844,0.90354,0.91724,0.61989,1.18684,1.10662,1.55966,0.000604,0.000604,0.000604
22,625.534,1.01198,0.9457,1.24681,0.86836,0.92878,0.91811,0.6262,1.14097,1.11675,1.49705,0.0005842,0.0005842,0.0005842
23,647.458,1.03116,0.9313,1.23564,0.8978,0.94993,0.928,0.63504,1.10774,1.11148,1.46319,0.0005644,0.0005644,0.0005644
24,669.584,0.99858,0.88529,1.21483,0.89673,0.95304,0.93299,0.64396,1.10855,1.07383,1.47966,0.0005446,0.0005446,0.0005446
25,691.798,0.98989,0.87255,1.22789,0.87422,0.95784,0.94095,0.63843,1.1304,1.0632,1.50711,0.0005248,0.0005248,0.0005248
26,714.405,1.00258,0.88588,1.21252,0.90973,0.91908,0.94279,0.6491,1.12338,1.02234,1.48798,0.000505,0.000505,0.000505
27,737.129,0.98682,0.88902,1.21803,0.92072,0.96781,0.94424,0.65136,1.11681,0.95485,1.47111,0.0004852,0.0004852,0.0004852
28,759.673,0.99369,0.86776,1.22884,0.92626,0.95631,0.94451,0.65288,1.11131,0.95602,1.45956,0.0004654,0.0004654,0.0004654
29,782.262,0.98672,0.85471,1.20378,0.89213,0.98855,0.94707,0.66169,1.10022,0.9479,1.4547,0.0004456,0.0004456,0.0004456
30,805.448,0.98669,0.82999,1.21431,0.89715,0.98452,0.94707,0.66654,1.10564,0.93669,1.45113,0.0004258,0.0004258,0.0004258
31,828.236,0.96184,0.81089,1.20417,0.90254,0.98428,0.94663,0.66247,1.11566,0.92585,1.44958,0.000406,0.000406,0.000406
32,851.838,0.97435,0.80035,1.18323,0.9015,0.98518,0.9466,0.65523,1.12955,0.93771,1.45044,0.0003862,0.0003862,0.0003862
33,875.316,0.92704,0.80668,1.21177,0.88149,0.98333,0.94396,0.64553,1.13919,0.93891,1.45554,0.0003664,0.0003664,0.0003664
34,898.788,0.93687,0.78882,1.17322,0.88013,0.99001,0.9398,0.64709,1.14829,0.93608,1.46988,0.0003466,0.0003466,0.0003466
35,922.098,0.99585,0.84238,1.25213,0.91191,0.98682,0.94242,0.65077,1.15889,0.93689,1.47952,0.0003268,0.0003268,0.0003268
36,945.349,0.99684,0.82405,1.2429,0.91588,0.98987,0.94242,0.64327,1.1618,0.93665,1.47302,0.000307,0.000307,0.000307
37,968.449,0.93814,0.8125,1.18412,0.91439,0.98612,0.94572,0.64406,1.16117,0.92988,1.4677,0.0002872,0.0002872,0.0002872
38,991.88,0.93392,0.80425,1.2088,0.91714,0.98236,0.94772,0.6489,1.16469,0.91545,1.46586,0.0002674,0.0002674,0.0002674
39,1015.66,0.94757,0.79501,1.19486,0.9166,0.98731,0.95203,0.64814,1.17207,0.89837,1.47823,0.0002476,0.0002476,0.0002476
40,1039.09,0.9217,0.765,1.17024,0.9173,0.98252,0.95116,0.64646,1.17578,0.88828,1.48897,0.0002278,0.0002278,0.0002278
41,1062.67,0.94033,0.91641,1.24794,0.91801,0.98118,0.94841,0.64715,1.16709,0.887,1.48273,0.000208,0.000208,0.000208
42,1086.05,0.93472,0.88511,1.21858,0.90853,0.97304,0.95165,0.65965,1.15393,0.90741,1.4733,0.0001882,0.0001882,0.0001882
43,1109.98,0.89277,0.8715,1.22938,0.90163,0.96769,0.94547,0.65494,1.19342,0.94897,1.51354,0.0001684,0.0001684,0.0001684
44,1133.3,0.89837,0.83778,1.22035,0.91853,0.9701,0.95143,0.65462,1.20566,0.9406,1.53426,0.0001486,0.0001486,0.0001486
45,1156.55,0.91929,0.8539,1.21349,0.92909,0.97917,0.95335,0.65656,1.20162,0.91898,1.53275,0.0001288,0.0001288,0.0001288
46,1180.47,0.89473,0.81746,1.21656,0.9347,0.98497,0.95825,0.65778,1.19049,0.89176,1.52096,0.000109,0.000109,0.000109
47,1204.56,0.90909,0.83019,1.22624,0.9339,0.97311,0.9541,0.658,1.17629,0.87014,1.50922,8.92e-05,8.92e-05,8.92e-05
48,1228.05,0.88921,0.80984,1.19706,0.92187,0.98598,0.95035,0.6509,1.16222,0.85841,1.49489,6.94e-05,6.94e-05,6.94e-05
49,1251.94,0.90671,0.82358,1.21847,0.93204,0.97207,0.94603,0.65459,1.15174,0.85317,1.48341,4.96e-05,4.96e-05,4.96e-05
50,1275.93,0.87867,0.80839,1.19205,0.93107,0.97239,0.94603,0.65647,1.14554,0.84976,1.47795,2.98e-05,2.98e-05,2.98e-05
